temp,vibration,rpm,overall_status
38,0.28,277,WARNING
51,0.68,303,NORMAL
79,0.22,288,NORMAL
71,0.99,255,NORMAL
39,0.78,293,NORMAL
80,0.76,310,NORMAL
70,0.65,255,CRITICAL
55,1.09,306,WARNING
53,0.62,306,NORMAL
81,0.96,342,CRITICAL
75,0.29,304,NORMAL
49,1.07,283,NORMAL
44,1.08,296,NORMAL
44,0.48,279,WARNING
73,1.1,295,NORMAL
72,0.41,349,NORMAL
74,1.1,309,CRITICAL
58,0.56,279,NORMAL
51,0.99,343,NORMAL
50,0.8,258,NORMAL
67,0.86,285,NORMAL
76,0.26,270,WARNING
78,0.9,291,NORMAL
45,0.91,319,NORMAL
81,1.14,346,CRITICAL
48,0.61,328,NORMAL
53,0.45,336,NORMAL
38,0.42,324,NORMAL
45,0.61,307,NORMAL
59,0.32,315,NORMAL
36,0.43,301,NORMAL
39,1.08,267,NORMAL
58,0.47,272,NORMAL
68,0.83,284,NORMAL
51,0.28,314,NORMAL
46,0.35,280,WARNING
71,1.05,325,NORMAL
43,0.52,261,CRITICAL
72,0.94,303,NORMAL
71,0.58,313,NORMAL
49,0.55,311,NORMAL
68,0.6,310,NORMAL
54,0.72,307,WARNING
67,0.76,309,NORMAL
53,0.42,347,NORMAL
39,0.53,272,WARNING
37,0.72,279,NORMAL
70,0.96,322,NORMAL
69,0.4,306,NORMAL
57,0.36,332,NORMAL
84,1.12,308,NORMAL
68,0.48,305,NORMAL
58,0.85,276,NORMAL
59,0.78,332,CRITICAL
60,0.86,285,NORMAL
82,0.78,328,CRITICAL
76,0.21,327,CRITICAL
62,0.74,297,NORMAL
74,0.91,253,NORMAL
46,0.32,330,WARNING
38,0.92,270,NORMAL
67,0.51,254,NORMAL
43,0.91,285,NORMAL
79,0.29,292,NORMAL
35,0.64,337,NORMAL
67,0.59,251,NORMAL
37,1.02,294,NORMAL
82,0.41,296,NORMAL
67,0.7,311,NORMAL
41,0.27,251,NORMAL
42,0.69,346,NORMAL
57,0.91,303,NORMAL
85,0.55,269,NORMAL
59,0.43,303,NORMAL
52,0.22,250,NORMAL
43,0.96,336,NORMAL
83,0.26,326,WARNING
66,1.1,263,NORMAL
42,0.99,263,CRITICAL
48,0.38,297,NORMAL
57,0.36,318,CRITICAL
82,0.53,346,NORMAL
