record_id,date,season,month,leaf_weight_kg,leaf_moisture_percent,withering_time_hours,fermentation_time_hours,drying_temperature_celsius,drying_duration_minutes,ambient_temperature_celsius,humidity_percentage,rainfall_mm,collection_region,powder_weight_kg,yield_percentage
REC-00001,12/31/2024,NE_Monsoon,12,609.61,77.3,15.79,3.32,105.6,24.3,17.4,88.4,8.41,West_Block,127.72,20.95
REC-00002,12/30/2024,NE_Monsoon,12,494.39,76.3,15.3,3.12,88.4,19.8,21.3,79.7,6.66,East_Block,95.86,19.39
REC-00003,12/30/2024,NE_Monsoon,12,474.46,76.5,16.9,4.28,100,25.4,18.2,78.8,10.38,West_Block,99.36,20.94
REC-00004,12/29/2024,NE_Monsoon,12,477.8,74.3,18.78,2.99,92.7,27.5,19.2,84.2,8.1,East_Block,97.81,20.47
REC-00005,12/27/2024,NE_Monsoon,12,428.91,75.4,13.63,3.39,95.3,21,20.8,79.7,9.55,West_Block,89.68,20.91
REC-00006,12/27/2024,NE_Monsoon,12,657.32,81.3,17.13,2.9,94.9,20.5,17.4,81.7,6.84,Middle_Division,131.82,20.05
REC-00007,12/26/2024,NE_Monsoon,12,593.4,82.7,15.03,3.18,105.7,24.9,20.7,83.1,5.14,East_Block,121.36,20.45
REC-00008,12/26/2024,NE_Monsoon,12,561.01,76.4,13.02,2.89,99.8,29.4,18.6,78.9,6.64,Lower_Division,119.59,21.32
REC-00009,12/26/2024,NE_Monsoon,12,486.43,77,16.77,3.05,102.8,22.9,18.6,83.1,9.64,Upper_Division,96.11,19.76
REC-00010,12/26/2024,NE_Monsoon,12,502.54,71.9,15.57,3.23,97.2,25.6,21.9,82.4,10.51,East_Block,101.17,20.13
REC-00011,12/26/2024,NE_Monsoon,12,557.23,74.5,19.69,2.9,99.5,24.9,23.9,80.9,8.81,Upper_Division,108.83,19.53
REC-00012,12/25/2024,NE_Monsoon,12,453.78,78.2,18.08,3.7,105,22.4,22.8,81.8,6.06,West_Block,96.42,21.25
REC-00013,12/25/2024,NE_Monsoon,12,551.1,75.3,15.45,3.32,91.9,26.6,19.7,89.2,5.78,West_Block,115.12,20.89
